player_name,team_name,tm_name,tm_club,position_detail,match_score
Bara Ndiaye,Bayern Munich,,,,0.0
Cheveyo Muy,Milan,,,,0.0
Eli Junior Kroupi,Bournemouth,,,,0.0
Mathys Silestrie,Rennes,,,,0.0
Souza,Tottenham Hotspur,Douglas Costa,Chievo Verona,RW,42.5
Alexander Legendre,Rennes,Elías Legendre Quiñónez,Stade Rennais FC,RW,57.6
Bahereba Guirassy,Nantes,Herba Guirassy,FC Nantes,LW,66.1
Ifechukwu Ogbus,Freiburg,Bruno Ogbus,SC Freiburg,CB,67.7
Patrice Čović,Werder Bremen,Patrice Covic,SV Werder Bremen,AM,67.7
Brad Mantsounga,Nice,Brad-Hamilton Mantsounga,OGC Nizza U19,CB,68.8
Jamaldeen Jimoh,Aston Villa,Jamaldeen Jimoh-Aloba,West Bromwich Albion,AM,69.6
Youssef Lekhedim,Alavés,Youssef Enríquez,Deportivo Alavés,LB,73.8
Estêvão Willian,Chelsea,Estêvão,Chelsea FC,RW,74.5
Tom Watson,Brighton,Tom Watson,Millwall FC,LW,76.0
Alysson Edward,Aston Villa,Alysson,Aston Villa,RW,76.7
Kader Meïté,Rennes,Kader Meïté,Al-Hilal SFC,CF,76.7
Ugo Lamare,Marseille,Ugo Kadmiri,Olympique Marseille U19,CF,76.7
Abdulai Juma Bah,Nice,Juma Bah,OGC Nice,CB,76.7
Andréa Le Borgne,Como,Andréa Le Borgne,US Avellino 1912,DM,77.5
Charles Herrmann,Gladbach,Charles Herrmann,Cercle Brugge,RW,77.5
Felipe Chávez,Bayern Munich,Felipe Chávez,1.FC Köln,CM,77.5
Jonah Kusi-Asare,Bayern Munich,Jonah Kusi-Asare,Fulham FC,CF,78.6
Joe Knight,Brighton,Joe Knight,Stevenage FC,CM,78.6
Brian Madjo,Metz,Brian Madjo,Aston Villa U21,CF,78.6
Kendry Páez,Strasbourg,Kendry Páez,CA River Plate,AM,78.6
Stanis Idumbo,Sevilla,Stanis Idumbo,AS Monaco,AM,78.6
Mathis Saka,Toulouse,Mathis Saka,Rodez AF,AM,80.0
Jaydee Canvot,Toulouse,Jaydee Canvot,Crystal Palace,CB,80.0
Ali Houary,Elche,Ali Houary,CD Mirandés,SS,80.0
George Ilenikhena,Monaco,George Ilenikhena,Al-Ittihad Club,CF,80.0
Enzo Koffi Vinette,Le Havre,Enzo Koffi,Le Havre AC,LB,80.0
Dro Fernández,Barcelona,Dro Fernández,Paris Saint-Germain,AM,80.6
Endrick,Real Madrid,Endrick,Olympique Lyon,CF,80.6
Sérigné Diop,Brest,Serigne Diop,Retired,CF,80.8
Matteo Palma,Udinese,Matteo Palma,UC Sampdoria,CB,80.9
Sidiki Cherif,Angers,Sidiki Chérif,Fenerbahce,CF,81.0
Abdoul Coulibaly,Werder Bremen,Abdoul Coulibaly,AS Bamako,CB,81.2
Darryl Bakola,Marseille,Darryl Bakola,US Sassuolo,AM,81.2
Marc Guiu,Sunderland,Marc Guiu,Chelsea FC,CF,81.2
Louis Buffon,Pisa,Louis Buffon,US Città di Pontedera,CF,82.0
Tyrique George,Chelsea,Tyrique George,Everton FC,LW,82.0
Seydou Fini,Genoa,Seydou Fini,Frosinone Calcio,RW,82.0
Vincent Burlet,Lille,Vincent Burlet,US Boulogne,LM,82.0
Justin Bourgault,Brest,Justin Bourgault,AS Nancy-Lorraine,LB,82.0
Noam Obougou Jacquet,Le Havre,Noam Obougou,Le Havre AC,CF,82.5
Mamadou Sarr,Strasbourg,Mamadou Sarr,RS Yoff,DM,82.9
Martin Nogoto Bley,Lorient,Martin Bley,FC Lorient B,AM,83.1
Mohamed Benoit Dao,Paris FC,Mohamed Dao,Paris FC U19,CF,83.1
Robinio Vaz,Marseille,Robinio Vaz,AS Roma,CF,83.3
Romain Esse,Crystal Palace,Romain Esse,Coventry City,RW,83.3
Tomas Marques,Barcelona,Tommy Marqués,FC Barcelona Atlètic,DM,83.8
Rabby Nzingoula,Strasbourg,Rabby Nzingoula,1.FC Nuremberg,DM,84.1
David Daiber,Bayern Munich,David Santos Daiber,FC Bayern Munich II,DM,84.2
Hilan Hamzaoui,Marseille,Hilan Hamzaoui Slimani,Olympique de Marseille B,CB,84.4
