player_id,player_name,position,team_name,competition,age,minutes,nineties,matches_played,min_pct,buts_p90,passes_p90,tirs_p90,tacles_p90,int_p90,fd_p90,fls_p90,crs_p90,ppm,xg_p90,xa_p90,coef_club,np_goals_p90,npxg_p90,precision_tir,bonus_age,coef_fiab,mf_type,score_brut,alterscore
1923,Said El Mala,FW,Köln,GER-Bundesliga,18,1956,21.73,34,63.9,0.6,0.18,3.41,0.64,0.37,1.06,0.69,1.79,0.59,0.58,0.19,1.148,0.55,0.54,0.405,1.7,1.0,,7.2,8.0
1744,Can Uzun,MF,Frankfurt,GER-Bundesliga,19,1156,12.84,21,61.2,0.62,0.31,3.19,0.7,0.23,2.02,1.17,1.87,1.62,0.35,0.2,0.91,0.55,0.29,0.463,1.4,0.9816666666666667,MF_OFF,8.5,7.7
690,Buba Sangaré,DF,Elche,ESP-La Liga,17,538,5.98,12,49.8,0.0,0.0,0.33,2.01,1.34,1.17,3.85,2.01,1.0,0.02,0.0,1.053,0.0,0.02,0.0,2.0,0.9483333333333333,,7.6,7.6
640,Lamine Yamal,MF,Barcelona,ESP-La Liga,18,2262,25.13,28,89.8,0.64,0.44,4.66,0.8,0.32,2.07,1.11,3.06,2.42,0.58,0.5,0.725,0.52,0.47,0.316,1.7,1.0,MF_OFF,9.4,7.5
2550,Ebenezer Akinsanmiro,MF,Pisa,ITA-Serie A,20,1444,16.04,24,66.9,0.0,0.06,0.81,1.56,1.68,1.75,1.87,0.56,0.74,0.07,0.1,1.113,0.0,0.07,0.231,1.1,0.9813333333333334,MF_DEF,7.0,7.5
1415,Nathan Mbala,MF,Metz,FRA-Ligue 1,17,441,4.9,13,37.7,0.41,0.41,3.06,1.22,0.2,1.22,0.61,7.35,1.06,0.14,0.22,1.039,0.41,0.14,0.267,2.0,0.8674999999999999,MF_OFF,7.9,7.1
749,Davinchi,DF,Getafe,ESP-La Liga,17,700,7.78,14,55.6,0.0,0.0,0.51,2.19,0.9,0.26,3.47,2.57,1.37,0.03,0.01,0.968,0.0,0.03,0.5,2.0,1.0,,7.1,6.9
1300,Abdoulaye Faye,DF,Lorient,FRA-Ligue 1,20,1444,16.04,17,94.4,0.0,0.0,0.5,1.5,1.75,0.94,1.56,0.25,0.71,0.04,0.0,1.12,0.0,0.04,0.25,1.1,0.9813333333333334,,6.4,6.9
1584,Kader Meïté,FW,Rennes,FRA-Ligue 1,17,535,5.94,17,35.0,0.51,0.34,3.7,0.34,0.17,0.67,2.02,0.51,1.41,0.72,0.22,0.958,0.51,0.72,0.318,2.0,0.9458333333333333,,7.6,6.9
2228,Jesus Rodríguez,MF,Como,ITA-Serie A,19,1731,19.23,31,62.0,0.1,0.47,2.34,0.88,0.21,1.66,1.25,2.96,0.89,0.2,0.36,1.078,0.1,0.2,0.267,1.4,1.0,MF_OFF,6.4,6.8
2006,Yan Diomandé,FW,RB Leipzig,GER-Bundesliga,18,2472,27.47,33,83.2,0.44,0.29,1.93,0.69,0.58,1.24,0.69,1.64,1.71,0.29,0.37,0.889,0.44,0.29,0.491,1.7,1.0,,7.3,6.7
65,Eli Junior Kroupi,MF,Bournemouth,ENG-Premier League,19,1600,17.78,32,55.6,0.73,0.0,2.59,0.34,0.45,0.62,1.52,0.51,1.5,0.5,0.1,0.938,0.62,0.41,0.457,1.4,1.0,MF_OFF,6.8,6.5
2142,Honest Ahanor,DF,Atalanta,ITA-Serie A,17,1377,15.3,22,69.5,0.0,0.0,0.85,1.31,1.57,1.83,1.57,0.13,1.53,0.16,0.01,0.931,0.0,0.16,0.308,2.0,1.0,,6.9,6.5
2236,Nicolás Paz,MF,Como,ITA-Serie A,20,2878,31.98,35,91.4,0.38,0.19,3.78,1.75,0.84,1.28,1.69,1.97,0.89,0.28,0.22,1.078,0.38,0.23,0.397,1.1,1.0,MF_DEF,6.1,6.5
1247,Andrija Bulatović,MF,Lens,FRA-Ligue 1,18,762,8.47,19,44.6,0.0,0.47,1.3,2.48,0.94,2.36,2.24,6.61,1.53,0.11,0.34,0.931,0.0,0.11,0.455,1.7,0.9233333333333333,MF_DEF,7.4,6.4
1858,Hannes Behrens,DF,Heidenheim,GER-Bundesliga,20,1318,14.64,16,91.5,0.07,0.14,0.61,1.23,1.23,1.84,0.34,4.03,1.0,0.02,0.19,1.053,0.07,0.02,0.444,1.1,0.9393333333333334,,6.5,6.4
1302,Arthur Avom,MF,Lorient,FRA-Ligue 1,20,2119,23.54,31,75.9,0.08,0.04,0.89,1.32,1.19,1.61,0.98,1.91,0.71,0.04,0.13,1.12,0.08,0.04,0.286,1.1,1.0,MF_DEF,5.8,6.3
1651,Santiago Hidalgo,MF,Toulouse,FRA-Ligue 1,20,1306,14.51,28,51.8,0.28,0.41,2.27,1.38,0.55,2.07,2.83,0.83,1.24,0.28,0.19,0.998,0.28,0.28,0.394,1.1,0.9353333333333333,MF_OFF,6.7,6.3
1962,Kacper Potulski,DF,Mainz 05,GER-Bundesliga,17,1065,11.83,15,78.9,0.08,0.0,1.18,1.27,1.61,0.42,1.44,0.17,1.35,0.22,0.05,0.972,0.08,0.22,0.357,2.0,1.0,,6.4,6.3
804,Carlos Espí,FW,Levante,ESP-La Liga,20,1343,14.92,25,59.7,0.74,0.0,3.82,0.47,0.6,1.68,2.08,0.07,0.95,0.66,0.05,1.065,0.74,0.66,0.421,1.1,0.9476666666666667,,6.2,6.2
1176,Rudy Matondo,MF,Auxerre,FRA-Ligue 1,17,1357,15.08,27,55.8,0.13,0.0,0.86,1.39,0.8,1.53,1.79,0.86,1.12,0.12,0.02,1.025,0.13,0.12,0.385,2.0,1.0,MF_DEF,6.1,6.2
1635,Dayann Methalie,MF,Toulouse,FRA-Ligue 1,19,1871,20.79,27,77.0,0.1,0.05,0.72,1.44,1.11,0.53,2.74,2.07,1.24,0.07,0.1,0.998,0.1,0.07,0.467,1.4,1.0,MF_DEF,6.2,6.2
1836,Luka Vušković,DF,Hamburger SV,GER-Bundesliga,18,2442,27.13,28,96.9,0.22,0.0,1.18,0.63,1.47,1.18,1.07,0.07,0.71,0.17,0.02,1.12,0.18,0.14,0.313,1.7,1.0,,5.7,6.2
1274,Ayyoub Bouaddi,MF,Lille,FRA-Ligue 1,17,2321,25.79,30,86.0,0.0,0.04,0.62,1.55,1.05,0.93,1.43,0.78,1.88,0.04,0.08,0.85,0.0,0.04,0.313,2.0,1.0,MF_DEF,6.9,6.1
1625,Samir El Mourabet,MF,Strasbourg,FRA-Ligue 1,19,2128,23.64,33,71.6,0.04,0.08,0.51,1.57,1.14,1.1,0.97,0.76,1.29,0.02,0.11,0.986,0.04,0.02,0.083,1.4,1.0,MF_DEF,6.2,6.1
1701,Lennart Karl,MF,Bayern Munich,GER-Bundesliga,17,1281,14.23,26,54.7,0.35,0.35,2.95,1.05,0.77,0.77,0.35,2.04,2.29,0.5,0.2,0.755,0.35,0.5,0.5,2.0,1.0,MF_OFF,7.6,6.1
1816,Wael Mohya,MF,Gladbach,GER-Bundesliga,16,552,6.13,15,40.9,0.33,0.16,1.79,1.14,0.33,2.12,0.65,1.31,1.12,0.18,0.03,1.025,0.33,0.18,0.455,2.0,0.96,MF_OFF,6.2,6.1
2402,Kenan Yıldız,MF,Juventus,ITA-Serie A,20,2825,31.39,36,87.2,0.32,0.19,3.09,0.45,0.22,1.78,0.73,3.89,2.0,0.27,0.34,0.822,0.29,0.23,0.412,1.1,1.0,MF_OFF,7.0,6.1
1675,Noahkai Banks,DF,Augsburg,GER-Bundesliga,18,1725,19.17,23,83.3,0.05,0.05,0.47,1.51,0.94,0.94,1.51,0.21,1.24,0.06,0.05,0.998,0.05,0.06,0.556,1.7,1.0,,6.0,6.0
1883,Bazoumana Touré,MF,Hoffenheim,GER-Bundesliga,19,2308,25.64,30,85.5,0.2,0.35,1.87,0.86,0.23,1.13,1.72,4.6,1.29,0.2,0.28,0.986,0.2,0.2,0.271,1.4,1.0,MF_OFF,6.1,6.0
2220,Assane Diao,MF,Como,ITA-Serie A,19,1075,11.94,17,70.3,0.17,0.08,2.6,0.42,0.34,3.27,1.26,2.26,0.89,0.27,0.14,1.078,0.17,0.27,0.323,1.4,0.9479166666666667,MF_OFF,5.9,6.0
1235,Simon Ebonog,MF,Le Havre,FRA-Ligue 1,20,1759,19.54,30,65.1,0.05,0.0,1.13,1.07,1.23,1.74,1.48,0.82,1.0,0.1,0.02,1.053,0.05,0.1,0.182,1.1,1.0,MF_DEF,5.7,5.9
1723,Jobe Bellingham,MF,Dortmund,GER-Bundesliga,19,1786,19.84,32,62.0,0.0,0.05,0.96,1.16,2.07,1.01,0.76,0.25,1.82,0.05,0.04,0.864,0.0,0.05,0.316,1.4,1.0,MF_DEF,6.6,5.9
306,Rio Ngumoha,MF,Liverpool,ENG-Premier League,17,488,5.42,18,30.1,0.37,0.18,2.58,0.37,0.55,1.85,0.55,3.32,1.58,0.23,0.39,0.919,0.37,0.23,0.429,2.0,0.9066666666666667,MF_OFF,6.9,5.8
500,Oliver Scarles,DF,West Ham United,ENG-Premier League,20,659,7.32,13,56.3,0.0,0.0,0.41,2.6,1.78,0.96,0.96,4.78,1.0,0.03,0.13,1.053,0.0,0.03,0.0,1.1,0.7196666666666667,,7.7,5.8
985,Endrick,FW,Real Madrid,ESP-La Liga,19,1227,13.63,17,80.2,0.37,0.51,3.67,0.66,0.15,1.61,1.54,3.82,2.13,0.48,0.33,0.792,0.29,0.42,0.52,1.4,1.0,,7.0,5.8
1037,Wesley,MF,Real Sociedad,ESP-La Liga,20,2536,28.18,35,80.5,0.18,0.0,0.92,1.42,0.82,2.06,1.38,3.48,1.24,0.09,0.19,0.998,0.18,0.09,0.5,1.1,1.0,MF_DEF,5.8,5.8
1947,Montrell Culbreath,MF,Leverkusen,GER-Bundesliga,17,736,8.18,12,68.1,0.12,0.0,0.98,1.96,0.98,1.34,0.61,2.93,2.12,0.25,0.05,0.795,0.12,0.25,0.25,2.0,1.0,MF_DEF,7.1,5.8
1982,Assan Ouédraogo,MF,RB Leipzig,GER-Bundesliga,19,948,10.53,19,55.4,0.38,0.28,2.56,0.57,0.28,2.09,0.38,0.38,1.71,0.27,0.29,0.889,0.38,0.27,0.481,1.4,0.895,MF_OFF,7.2,5.8
2036,Chema,MF,Stuttgart,GER-Bundesliga,20,1310,14.56,25,58.2,0.21,0.0,1.03,1.1,2.13,0.55,1.37,0.0,1.06,0.14,0.08,1.039,0.21,0.14,0.4,1.1,0.9366666666666666,MF_DEF,6.0,5.8
75,Rayan,MF,Bournemouth,ENG-Premier League,19,1039,11.54,14,82.5,0.43,0.17,2.34,0.52,0.52,0.52,0.78,1.82,1.5,0.23,0.24,0.938,0.43,0.23,0.296,1.4,0.9329166666666666,MF_OFF,6.4,5.7
560,Youssef Lekhedim,DF,Alavés,ESP-La Liga,19,1335,14.83,25,59.3,0.0,0.07,0.74,0.67,0.81,0.88,1.62,4.11,1.05,0.05,0.19,1.042,0.0,0.05,0.273,1.4,1.0,,5.5,5.7
1255,Ismaëlo Ganiou,DF,Lens,FRA-Ligue 1,20,2014,22.38,23,97.3,0.13,0.0,0.98,1.21,1.3,0.98,1.12,0.76,1.53,0.1,0.02,0.931,0.13,0.1,0.182,1.1,1.0,,6.0,5.7
1387,Believe Munongo,MF,Metz,FRA-Ligue 1,15,431,4.79,11,43.5,0.0,0.0,1.04,1.46,1.25,0.42,3.55,0.42,1.06,0.04,0.03,1.039,0.0,0.04,0.2,2.0,0.8591666666666666,MF_DEF,6.4,5.7
1774,Johan Manzambi,MF,Freiburg,GER-Bundesliga,19,2077,23.08,27,85.5,0.22,0.17,2.21,0.61,1.17,3.38,0.95,1.52,1.53,0.17,0.16,0.931,0.22,0.17,0.255,1.4,1.0,MF_DEF,6.0,5.7
2460,Tiago Gabriel,DF,Lecce,ITA-Serie A,20,3219,35.77,37,96.7,0.06,0.0,0.56,1.12,1.29,1.12,0.81,0.06,1.0,0.11,0.0,1.053,0.06,0.11,0.2,1.1,1.0,,5.5,5.7
813,Kareem Tunde,MF,Levante,ESP-La Liga,19,1133,12.59,21,59.9,0.0,0.08,1.67,0.87,1.11,1.91,1.27,0.87,0.95,0.1,0.05,1.065,0.0,0.1,0.143,1.4,0.9720833333333334,MF_DEF,5.5,5.6
1558,Nhoa Sangui,DF,Paris FC,FRA-Ligue 1,19,1737,19.3,26,74.2,0.0,0.0,0.21,0.73,1.09,0.88,0.26,1.92,0.82,0.03,0.06,1.095,0.0,0.03,0.25,1.4,1.0,,5.2,5.6
