player_name,age,position_detail,team_name,buts_p90,passes_p90,tirs_p90,tacles_p90,int_p90,fd_p90,min_pct,ppm,market_value,cluster_label,groupe
Jones El-Abdellaoui,20,RW,Celta Vigo,0.27,0.0,2.3,0.41,0.41,0.41,35.2,1.62,€8.00m,Renard des surfaces,Attaquants
Joshua Acheampong,20,RB,Chelsea,0.15,0.0,0.46,1.08,1.69,0.77,43.5,1.13,€25.00m,Stoppeur,Défenseurs
Jayden Addai,20,RW,Como,0.39,0.0,1.71,0.26,0.26,1.84,63.5,1.25,€20.00m,Renard des surfaces,Attaquants
Honest Ahanor,18,CB,Atalanta,0.0,0.0,0.92,1.31,1.54,2.0,68.4,1.68,€25.00m,Défenseur de ligne,Défenseurs
Abdelhamid Ait Boudlal,20,CB,Rennes,0.15,0.07,0.66,0.74,1.25,0.59,75.5,1.89,€10.00m,Stoppeur,Défenseurs
Samuel Amo-Ameyaw,19,RW,Strasbourg,0.19,0.19,1.25,1.06,0.29,2.12,45.3,1.35,€8.00m,Ailier électrique,Attaquants
Amorim,20,CM,Genoa,0.0,0.0,0.57,0.86,1.71,3.14,43.6,1.38,€6.50m,Milieu relayeur,Milieux
Mathis Amougou,20,CM,Strasbourg,0.0,0.0,0.81,2.16,0.54,0.81,33.8,1.45,€10.00m,Milieu offensif,Milieux
Harrison Armstrong,19,CM,Everton,0.0,0.0,0.89,1.79,0.71,2.68,46.3,1.33,€12.00m,Milieu offensif,Milieux
Fabio Baldé,20,LW,Hamburger SV,0.0,0.22,1.33,1.56,0.0,0.44,32.4,1.27,€3.00m,Ailier électrique,Attaquants
Aladji Bamba,19,DM,Monaco,0.0,0.13,0.13,2.21,1.04,1.95,47.8,2.44,€10.00m,Milieu offensif,Milieux
Noahkai Banks,19,CB,Augsburg,0.05,0.05,0.48,1.33,0.96,0.96,85.6,1.14,€22.00m,Stoppeur,Défenseurs
Roony Bardghji,20,RW,Barcelona,0.16,0.16,3.23,0.65,0.32,0.97,32.7,2.37,€15.00m,Avant-centre de pointe,Attaquants
Davide Bartesaghi,20,LB,Milan,0.08,0.0,0.83,1.32,0.54,0.58,86.6,1.86,€23.00m,Stoppeur,Défenseurs
Jobe Bellingham,20,CM,Dortmund,0.0,0.05,0.9,1.16,2.17,1.06,61.1,2.13,€30.00m,Milieu offensif,Milieux
Lucas Bergvall,20,CM,Tottenham Hotspur,0.09,0.28,1.04,1.32,0.28,0.66,48.2,1.18,€40.00m,Milieu relayeur,Milieux
Marc Bernal,18,DM,Barcelona,0.34,0.17,1.02,2.2,1.02,1.19,33.0,2.83,€30.00m,Milieu offensif,Milieux
Tom Bischof,20,CM,Bayern Munich,0.16,0.24,2.16,1.04,0.88,0.56,51.9,2.63,€40.00m,Box-to-box,Milieux
Javier Boñar,20,RB,Atlético Madrid,0.33,0.0,0.67,1.0,0.0,0.33,99.6,1.0,€1.00m,Stoppeur,Défenseurs
Ayyoub Bouaddi,18,CM,Lille,0.0,0.04,0.62,1.52,1.03,0.95,86.7,1.64,€50.00m,Milieu offensif,Milieux
Kaïl Boudache,19,RW,Nice,0.19,0.0,2.04,1.67,1.11,0.74,45.0,0.75,€4.00m,Ailier électrique,Attaquants
Sascha Britschgi,19,RB,Parma,0.0,0.09,0.58,0.81,0.36,0.99,82.6,1.3,€10.00m,Stoppeur,Défenseurs
Andrija Bulatović,19,CM,Lens,0.0,0.41,1.35,2.3,0.95,2.7,43.5,2.12,€5.00m,Milieu offensif,Milieux
Jan Bürger,19,RB,Wolfsburg,0.0,0.0,0.74,1.11,0.0,1.85,39.2,0.57,€3.00m,Défenseur de ligne,Défenseurs
Francesco Camarda,18,CF,Lecce,0.14,0.0,2.05,0.14,0.0,0.55,38.6,0.95,€15.00m,Renard des surfaces,Attaquants
Jaydee Canvot,19,CB,Toulouse,0.0,0.0,0.42,1.69,0.68,0.34,69.7,1.53,€20.00m,Stoppeur,Défenseurs
Nidal Celik,19,CB,Lens,0.0,0.0,0.17,1.55,1.38,0.17,83.5,1.43,€4.00m,Stoppeur,Défenseurs
El Chadaille Bitshiabu,20,CB,RB Leipzig,0.0,0.0,0.27,0.82,0.82,0.0,66.2,1.73,€15.00m,Stoppeur,Défenseurs
Fallou Cham,20,RB,Hellas Verona,0.0,0.0,2.0,3.6,1.6,2.0,42.2,0.5,€1.00m,Défenseur de ligne,Défenseurs
Sidiki Cherif,19,CF,Angers,0.31,0.0,2.17,0.23,0.47,1.24,67.7,1.21,€18.00m,Renard des surfaces,Attaquants
Fabio Chiarodia,20,CB,Gladbach,0.0,0.0,0.58,1.3,1.59,0.14,49.0,0.86,€3.00m,Stoppeur,Défenseurs
Paco Cortés,18,LW,Levante,0.0,0.0,2.31,0.19,0.38,1.15,43.7,1.08,€1.00m,Renard des surfaces,Attaquants
Abdoul Coulibaly,18,CB,Werder Bremen,0.04,0.0,0.27,0.62,1.02,0.4,86.8,0.96,-,Stoppeur,Défenseurs
Marius Courcoul,19,DM,Angers,0.0,0.0,0.48,2.14,0.71,0.71,23.1,1.11,€2.50m,Milieu offensif,Milieux
Patrice Čović,18,AM,Werder Bremen,0.27,0.0,1.35,1.08,1.08,0.54,26.2,0.86,€4.00m,Milieu relayeur,Milieux
Pau Cubarsí,19,CB,Barcelona,0.04,0.0,0.35,0.92,0.99,0.28,97.8,2.59,€80.00m,Stoppeur,Défenseurs
Montrell Culbreath,18,RW,Leverkusen,0.15,0.0,1.03,1.76,1.03,1.32,67.9,2.1,€5.00m,Ailier électrique,Attaquants
Adam Daghim,20,RW,Wolfsburg,0.15,0.22,1.72,1.42,0.82,1.64,53.5,0.6,€7.50m,Ailier électrique,Attaquants
Davinchi,18,LB,Getafe,0.0,0.0,0.48,2.06,0.63,0.32,63.3,1.1,€1.00m,Stoppeur,Défenseurs
Bahmed Deuff,20,DM,Nantes,0.0,0.0,2.5,1.07,0.71,1.07,25.3,0.45,€1.50m,Milieu relayeur,Milieux
Assane Diao,20,LW,Como,0.22,0.11,2.42,0.44,0.22,2.97,65.3,1.43,€30.00m,Renard des surfaces,Attaquants
Tyler Dibling,20,RW,Everton,0.0,0.0,1.0,0.75,1.5,2.75,28.4,1.14,€22.00m,Ailier électrique,Attaquants
Yan Diomandé,19,LW,RB Leipzig,0.47,0.27,1.95,0.7,0.59,1.17,82.5,2.0,€75.00m,Avant-centre de pointe,Attaquants
Harouna Djibrin,19,RW,Angers,0.54,0.27,1.89,1.08,1.35,2.16,24.9,1.2,€1.50m,Ailier électrique,Attaquants
Marc Domenech,20,CB,Mallorca,0.0,0.42,1.25,0.83,0.0,1.25,34.0,0.86,-,Défenseur offensif,Défenseurs
Désiré Doué,20,RW,Paris Saint-Germain,0.44,0.22,3.6,1.4,0.59,2.06,64.6,2.29,€90.00m,Avant-centre de pointe,Attaquants
Claudio Echeverri,20,AM,Girona,0.17,0.17,2.71,1.02,0.17,2.03,45.3,0.85,€15.00m,Box-to-box,Milieux
Noah Edjouma,20,RW,Toulouse,0.0,0.0,2.86,1.07,1.07,1.43,23.7,1.42,€5.00m,Ailier électrique,Attaquants
Jeff Ekhator,19,CF,Genoa,0.32,0.0,1.79,0.84,0.21,2.0,34.1,1.07,€13.00m,Renard des surfaces,Attaquants
Endrick,19,CF,Real Madrid,0.43,0.51,3.42,0.68,0.17,1.54,83.7,1.93,€35.00m,Avant-centre de pointe,Attaquants
Carlos Espí,20,CF,Levante,0.75,0.0,3.67,0.42,0.42,1.67,54.5,1.18,€2.50m,Renard des surfaces,Attaquants
Francesco Esposito,20,CM,Inter,0.37,0.19,3.4,0.25,0.31,2.65,49.0,2.39,-,Box-to-box,Milieux
Dro Fernández,18,AM,Barcelona,0.2,0.0,0.78,0.59,1.37,1.96,56.4,2.11,€10.00m,Milieu relayeur,Milieux
Rayan Fofana,20,CF,Lens,0.56,0.0,4.04,0.45,0.11,3.82,35.5,2.08,€7.00m,Avant-centre de pointe,Attaquants
Héctor Fort,19,RB,Elche,0.22,0.43,2.39,0.65,1.09,0.22,41.4,1.45,€12.00m,Défenseur offensif,Défenseurs
Niccolò Fortini,20,LB,Fiorentina,0.0,0.0,1.33,1.5,0.67,3.0,37.6,0.81,€10.00m,Défenseur de ligne,Défenseurs
Pablo Garcia,19,RW,Real Betis,0.0,0.0,3.02,1.16,0.7,2.09,28.7,1.53,€8.00m,Ailier électrique,Attaquants
Tidiam Gomis,19,LW,RB Leipzig,0.27,0.0,2.43,0.54,0.0,0.81,21.6,1.88,€5.00m,Renard des surfaces,Attaquants
Archie Gray,20,CM,Tottenham Hotspur,0.12,0.12,0.67,0.49,1.04,0.12,71.0,0.74,€35.00m,Milieu relayeur,Milieux
Idrissa Guèye,19,CF,Udinese,0.0,0.0,3.85,0.77,0.77,2.05,24.4,0.94,€4.00m,Ailier électrique,Attaquants
Bahereba Guirassy,19,LW,Nantes,0.22,0.11,1.65,1.43,0.55,0.99,45.6,0.85,€8.00m,Ailier électrique,Attaquants
Marc Guiu,20,CF,Sunderland,0.0,0.34,4.14,0.0,0.0,0.69,35.7,1.63,€12.00m,Avant-centre de pointe,Attaquants
Jorrel Hato,20,LB,Chelsea,0.0,0.0,0.39,1.67,1.08,0.2,53.6,1.32,€35.00m,Stoppeur,Défenseurs
Ayden Heaven,19,CB,Manchester Utd,0.0,0.1,0.29,1.26,0.1,0.87,60.4,2.0,€20.00m,Stoppeur,Défenseurs
Lucas Høgsberg,19,CB,Strasbourg,0.0,0.0,0.22,0.45,0.61,0.73,85.3,1.38,€15.00m,Stoppeur,Défenseurs
Arijon Ibrahimović,20,AM,Heidenheim,0.04,0.13,1.86,0.71,0.97,1.11,75.2,0.73,€6.00m,Milieu relayeur,Milieux
Riyad Idrissi,20,LB,Cagliari,0.23,0.0,0.69,1.72,1.03,0.69,37.8,0.96,€4.00m,Stoppeur,Défenseurs
George Ilenikhena,19,CF,Monaco,0.47,0.0,3.49,0.0,0.0,1.4,28.5,1.2,€12.00m,Renard des surfaces,Attaquants
Samuele Inácio,18,CF,Dortmund,0.29,0.0,2.0,0.57,0.0,2.57,58.5,1.0,€3.00m,Renard des surfaces,Attaquants
Cyriaque Irié,20,RW,Freiburg,0.0,0.0,1.79,1.54,0.77,2.05,38.6,0.7,€8.00m,Ailier électrique,Attaquants
Jérémy Jacquet,20,CB,Rennes,0.0,0.0,0.59,0.91,1.18,0.91,97.7,1.42,€55.00m,Stoppeur,Défenseurs
Finn Jeltsch,19,CB,Stuttgart,0.0,0.06,0.18,0.84,1.14,0.96,76.1,1.95,€30.00m,Stoppeur,Défenseurs
Abdulai Juma Bah,20,CB,Nice,0.0,0.0,0.34,0.87,1.44,0.34,83.0,1.04,€10.00m,Stoppeur,Défenseurs
Eli Junior Kroupi,19,CF,Bournemouth,0.75,0.0,2.67,0.37,0.5,0.68,53.6,1.43,,Renard des surfaces,Attaquants
Lennart Karl,18,AM,Bayern Munich,0.37,0.3,2.91,1.04,0.67,0.82,55.8,2.54,€60.00m,Box-to-box,Milieux
Semih Kılıçsoy,20,CF,Cagliari,0.37,0.0,1.57,0.37,0.09,1.39,49.2,1.05,€13.00m,Renard des surfaces,Attaquants
Joshua King,19,AM,Fulham,0.07,0.14,1.73,0.79,0.22,1.94,47.9,1.38,€20.00m,Milieu relayeur,Milieux
