competition,season,team_name,player_name,nation,position,age,born,matches_played,Playing Time_Starts,minutes,nineties,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Performance_2CrdY,fouls_committed,fouls_drawn,Performance_Off,crosses,interceptions,tackles_won,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls,shots,shots_on_target,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,13.3,0,10,5,1,17,16,15,,,0,0,9,2,22.2,0.68,0.15,0.0,0.0,0,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78,19.2,0,15,39,7,115,3,15,,,0,6,67,23,34.3,3.49,1.2,0.07,0.22,1,1
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,38.0,0,1,10,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,0.13,0.22,0.35,0.13,0.35,31.4,1,21,16,2,161,27,23,,,0,4,48,15,31.3,1.53,0.48,0.08,0.27,0,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6,9.9,0,10,5,6,54,3,6,,,0,4,24,9,37.5,2.41,0.91,0.17,0.44,0,0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,0.44,0.0,0.44,0.44,0.44,6.8,0,14,10,9,6,5,6,,,0,3,20,8,40.0,2.96,1.18,0.15,0.38,0,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,26.3,0,19,19,0,9,16,15,,,0,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,0.31,0.16,0.47,0.31,0.47,25.4,0,16,21,8,90,4,15,,,0,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,12.5,0,10,4,1,2,6,8,,,0,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,15,9,704,7.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,7.8,0,15,17,0,1,7,4,,,0,0,2,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,0.04,0.11,0.15,0.04,0.15,26.9,0,30,29,7,28,24,36,,,0,1,14,4,28.6,0.52,0.15,0.07,0.25,0,0
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,FW,25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,0.43,0.14,0.58,0.43,0.58,20.8,0,38,23,14,11,5,8,,,0,9,53,21,39.6,2.54,1.01,0.17,0.43,0,0
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,DF,27,1997,13,2,259,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,2.9,0,1,2,2,14,3,5,,,0,1,2,1,50.0,0.69,0.35,0.5,1.0,0,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,0.28,0.25,0.53,0.28,0.53,28.3,1,27,46,6,80,10,18,,,0,8,72,22,30.6,2.55,0.78,0.11,0.36,0,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,0.12,0.31,0.43,0.08,0.39,25.8,0,12,23,1,86,6,8,,,0,3,49,17,34.7,1.9,0.66,0.04,0.12,1,1
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,0.4,0.11,0.51,0.4,0.51,17.6,1,41,23,7,12,16,28,,,0,7,38,15,39.5,2.16,0.85,0.18,0.47,0,0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.07,0.0,0.07,0.07,0.07,15.2,0,11,47,0,10,7,13,,,0,1,3,1,33.3,0.2,0.07,0.33,1.0,0,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,,,0,0,1,1,100.0,12.86,12.86,0.0,0.0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,15,5,527,5.9,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,5.9,0,8,3,1,13,5,0,,,0,0,10,0,0.0,1.71,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,5.5,0,12,8,4,16,1,4,,,0,0,11,0,0.0,1.98,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,10.9,0,15,6,3,11,8,18,,,0,2,10,6,60.0,0.92,0.55,0.2,0.33,0,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,,,0,0,1,0,0.0,12.86,0.0,0.0,,0,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,0.13,0.06,0.19,0.13,0.19,31.1,0,44,31,1,12,35,53,,,0,4,26,9,34.6,0.84,0.29,0.15,0.44,0,0
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,33.8,0,28,17,1,3,22,34,,,0,2,6,3,50.0,0.18,0.09,0.33,0.67,0,0
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,0.17,0.0,0.17,0.17,0.17,18.0,0,32,30,0,2,26,29,,,0,3,17,6,35.3,0.95,0.33,0.18,0.5,0,0
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.5,0,1,0,0,18,2,5,,,0,0,2,0,0.0,0.57,0.0,0.0,,0,0
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5.4,0,3,2,2,1,4,5,,,0,0,2,0,0.0,0.37,0.0,0.0,,0,0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,19.2,0,29,35,0,1,16,23,,,0,1,10,3,30.0,0.52,0.16,0.1,0.33,0,0
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9.2,0,11,1,1,0,5,2,,,0,0,4,1,25.0,0.43,0.11,0.0,0.0,0,0
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,MF,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,0.89,0.0,0.89,0.89,0.89,3.4,0,1,5,2,8,0,4,,,0,3,15,9,60.0,4.43,2.66,0.2,0.33,0,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"FW,MF",27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,0,4,6,0,0,0,5,,,0,0,5,0,0.0,4.59,0.0,0.0,,0,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,35.5,0,2,5,0,0,0,3,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,34,33,2936,32.6,2,0,2,2,0,0,1,0,0.06,0.0,0.06,0.06,0.06,32.6,0,9,47,1,5,24,20,,,0,2,11,5,45.5,0.34,0.15,0.18,0.4,0,0
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,12.7,0,11,9,3,51,18,18,,,0,1,19,5,26.3,1.5,0.4,0.05,0.2,0,0
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,2001,29,19,1623,18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,18.0,1,13,28,5,11,8,15,,,0,1,19,4,21.1,1.05,0.22,0.05,0.25,0,0
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,3.7,1,13,8,1,4,3,5,,,0,0,7,0,0.0,1.9,0.0,0.0,,0,0
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,1994,34,27,2223,24.7,1,4,5,1,0,0,7,0,0.04,0.16,0.2,0.04,0.2,24.7,0,43,69,3,60,11,23,,,0,1,31,5,16.1,1.26,0.2,0.03,0.2,0,0
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0.0,0.99,0.99,0.99,7.1,0,14,15,5,3,0,7,,,0,7,31,15,48.4,4.37,2.12,0.23,0.47,0,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4,0,0,1,0,1,1,4,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5.3,0,8,11,0,0,1,6,,,0,0,1,1,100.0,0.19,0.19,0.0,0.0,0,0
